y=556, x=673..691
y=787, x=577..579
y=587, x=501..503
x=497, y=1258..1260
x=380, y=444..468
y=254, x=511..516
y=484, x=463..486
x=508, y=1291..1305
x=559, y=6..20
x=546, y=1546..1553
x=606, y=346..348
x=603, y=220..237
y=291, x=410..430
y=996, x=541..543
x=491, y=1183..1196
x=545, y=1149..1151
x=511, y=284..305
x=636, y=1495..1508
x=554, y=315..320
y=1524, x=662..666
x=532, y=6..28
y=268, x=331..347
x=586, y=1142..1155
y=1661, x=522..544
x=625, y=352..368
x=510, y=1174..1178
x=533, y=246..262
y=150, x=478..526
x=334, y=319..336
y=746, x=668..686
y=1058, x=618..645
x=628, y=199..215
x=455, y=764..773
x=418, y=1497..1507
y=505, x=433..470
x=649, y=447..455
x=362, y=1639..1652
x=611, y=590..606
x=338, y=348..366
y=1154, x=403..420
x=615, y=939..949
x=657, y=1642..1662
y=1456, x=665..672
y=609, x=499..502
x=385, y=1400..1423
x=503, y=719..746
y=456, x=541..551
x=649, y=594..602
x=355, y=1658..1667
x=657, y=961..965
y=690, x=461..465
x=536, y=1648..1653
y=522, x=425..427
x=333, y=429..456
y=574, x=338..343
y=938, x=515..521
y=1141, x=335..339
x=477, y=1711..1736
x=465, y=616..627
x=336, y=598..605
x=496, y=1121..1133
x=461, y=687..690
x=455, y=723..736
x=347, y=1559..1567
y=918, x=415..429
y=1464, x=483..534
x=499, y=598..609
x=514, y=580..590
x=526, y=138..150
x=343, y=1638..1652
y=740, x=357..370
x=483, y=936..959
y=942, x=509..528
x=355, y=228..233
x=353, y=626..651
x=490, y=1292..1305
x=622, y=54..75
x=397, y=937..959
x=565, y=1253..1267
y=713, x=398..407
x=649, y=1098..1122
y=219, x=542..565
x=478, y=874..877
x=629, y=352..368
x=341, y=758..761
x=376, y=935..944
x=589, y=1109..1113
y=446, x=423..440
y=828, x=413..418
x=524, y=735..752
x=662, y=1754..1764
x=432, y=1666..1674
y=1354, x=533..541
x=380, y=74..96
y=314, x=463..471
x=536, y=345..357
x=357, y=695..699
x=445, y=375..377
x=625, y=763..779
y=1131, x=392..394
y=251, x=650..652
y=1652, x=343..362
x=545, y=1102..1113
y=999, x=603..617
x=598, y=1635..1637
x=349, y=1521..1524
y=798, x=364..372
x=532, y=968..979
x=485, y=1234..1236
y=513, x=527..533
x=364, y=406..408
x=580, y=6..17
y=1674, x=432..457
y=956, x=528..530
y=1668, x=382..387
x=387, y=462..480
x=338, y=1479..1486
x=572, y=602..624
y=1234, x=663..665
y=1113, x=447..452
y=124, x=547..554
x=604, y=727..746
