y=1985, x=415..425
x=419, y=1001..1005
x=465, y=1496..1506
x=462, y=1975..1983
y=1731, x=400..411
x=395, y=1668..1680
x=384, y=143..144
y=616, x=480..494
x=452, y=264..273
y=706, x=435..438
x=377, y=1978..1990
x=417, y=2018..2024
x=348, y=236..257
x=430, y=285..309
x=510, y=1834..1844
y=1938, x=424..439
x=415, y=264..279
x=504, y=286..289
x=499, y=148..175
y=1596, x=479..492
x=502, y=664..678
x=504, y=639..650
x=385, y=1694..1705
x=513, y=327..344
x=498, y=1180..1185
x=465, y=1485..1493
x=436, y=1868..1877
x=369, y=325..328
y=575, x=362..374
x=461, y=794..796
y=1683, x=444..447
x=509, y=1985..1989
x=353, y=397..412
x=333, y=2043..2053
y=1334, x=446..468
x=400, y=66..93
x=500, y=240..252
x=370, y=592..610
y=1106, x=370..420
y=192, x=480..491
x=428, y=1302..1315
x=470, y=1342..1358
x=465, y=27..47
x=360, y=1467..1486
y=1334, x=422..424
x=357, y=968..988
x=413, y=1135..1144
x=484, y=1747..1749
y=257, x=348..375
x=493, y=1764..1791
x=426, y=483..496
y=935, x=404..429
y=2053, x=333..372
x=462, y=769..780
x=372, y=662..687
x=427, y=871..881
x=341, y=1423..1451
x=402, y=528..540
x=436, y=944..951
y=2027, x=429..438
y=1784, x=364..367
y=1250, x=410..432
x=431, y=1386..1398
x=384, y=1538..1548
x=427, y=1799..1807
x=481, y=240..252
y=807, x=357..364
y=474, x=360..384
x=422, y=871..886
x=480, y=1656..1682
x=412, y=825..853
y=186, x=465..468
y=596, x=488..499
x=475, y=1632..1639
x=381, y=349..374
x=404, y=1379..1403
x=358, y=1528..1545
x=374, y=1776..1787
x=376, y=1642..1645
y=1902, x=502..507
x=432, y=346..359
x=452, y=744..754
x=462, y=75..87
x=497, y=1674..1697
x=422, y=677..689
x=375, y=348..368
x=499, y=52..65
y=1208, x=420..441
y=1891, x=490..510
x=449, y=1828..1845
x=492, y=1593..1596
y=1625, x=382..399
y=1062, x=469..496
y=1943, x=374..378
x=418, y=1858..1881
y=1782, x=340..342
x=471, y=1544..1554
x=395, y=505..518
y=319, x=369..386
y=1648, x=503..516
y=1419, x=483..488
x=474, y=184..194
x=409, y=1912..1927
x=396, y=699..719
x=435, y=747..769
y=1573, x=336..341
x=477, y=337..343
x=465, y=927..939
y=596, x=443..446
x=400, y=726..742
y=1584, x=390..396
y=1194, x=355..365
x=334, y=1254..1272
x=411, y=1113..1126
x=442, y=1152..1166
x=456, y=849..862
x=476, y=849..862
y=93, x=372..400
x=487, y=32..45
x=385, y=1670..1683
x=352, y=1332..1335
x=345, y=522..525
x=451, y=1566..1591
x=344, y=851..875
y=2010, x=369..385
x=391, y=254..258
y=1705, x=369..385
x=434, y=52..71
y=596, x=362..364
x=504, y=1683..1686
x=427, y=1831..1846
y=1358, x=463..470
y=689, x=422..426
x=460, y=874..878
x=488, y=160..178
x=465, y=1632..1639
x=451, y=1345..1357
x=492, y=1071..1081
x=346, y=1421..1441
x=360, y=864..882
y=743, x=380..384
y=1861, x=394..402
x=377, y=1714..1724
x=496, y=194..207
y=1374, x=427..430
x=344, y=820..841
x=339, y=1327..1339
x=334, y=1687..1697
y=1390, x=375..384
y=783, x=493..506
x=451, y=1416..1420
x=391, y=1751..1765
y=1182, x=395..405
x=370, y=978..992
x=400, y=1079..1090
y=1865, x=374..376
x=441, y=207..209
x=402, y=460..474
y=1788, x=479..486
y=1961, x=498..511
y=639, x=460..473
y=1408, x=460..469
x=407, y=2033..2043
x=416, y=1323..1337
x=375, y=235..257
x=434, y=1495..1498
x=362, y=923..924
x=385, y=2005..2010
x=438, y=1602..1615
y=494, x=487..498
y=648, x=380..385
x=415, y=630..653
y=2014, x=364..391
x=391, y=754..763
x=515, y=884..910
x=468, y=1086..1090
x=380, y=624..648
x=501, y=1583..1584
x=404, y=925..935
x=450, y=373..386
x=470, y=510..511
x=346, y=420..444
x=429, y=1476..1478
x=422, y=1968..1970
x=380, y=977..998
y=1651, x=343..357
x=476, y=907..918
x=457, y=560..563
x=477, y=1569..1587
x=392, y=779..782
y=198, x=381..388
x=420, y=597..600
y=620, x=437..439
y=165, x=511..514
x=348, y=2017..2025
y=273, x=452..492
x=414, y=1026..1040
x=357, y=1960..1965
x=382, y=1792..1805
x=504, y=1625..1631
x=362, y=1308..1312
x=487, y=968..995
x=469, y=1059..1062
y=172, x=358..383
x=483, y=1951..1955
y=150, x=406..408
y=1191, x=376..385
y=973, x=417..423
y=782, x=392..394
x=347, y=636..643
x=476, y=119..129
x=407, y=372..382
y=1812, x=487..502
y=1438, x=441..444
y=1085, x=391..393
y=1090, x=385..400
x=428, y=1282..1291
x=340, y=1760..1782
x=494, y=1397..1402
x=469, y=696..705
y=780, x=444..462
x=439, y=611..620
y=1440, x=411..416
x=351, y=1701..1729
y=506, x=346..371
x=376, y=793..797
x=474, y=1765..1791
x=460, y=18..20
x=339, y=852..875
x=510, y=8..18
x=372, y=2020..2030
x=342, y=1759..1782
x=385, y=1859..1868
x=402, y=284..295
x=413, y=505..518
y=144, x=384..390
x=500, y=286..289
x=368, y=901..918
x=452, y=1947..1965
x=439, y=422..428
x=444, y=1420..1438
y=295, x=396..402
x=418, y=1260..1271
x=475, y=14..24
y=1765, x=374..391
x=360, y=457..474
x=334, y=1114..1128
x=496, y=147..175
y=515, x=448..452
y=386, x=432..450
y=1335, x=347..352
y=1474, x=447..468
y=1927, x=409..413
y=1757, x=353..362
x=506, y=1350..1354
y=1631, x=504..508
y=841, x=440..464
x=446, y=1857..1881
x=434, y=1002..1005
x=341, y=1934..1942
y=201, x=365..377
x=480, y=1373..1386
y=576, x=401..409
y=1849, x=496..516
y=522, x=498..503
y=1807, x=427..434
x=363, y=705..720
x=442, y=1535..1550
x=398, y=458..460
x=404, y=1560..1562
y=214, x=462..489
x=368, y=1717..1727
x=438, y=2001..2027
y=1907, x=428..454
x=396, y=284..295
x=385, y=1080..1090
y=625, x=429..446
y=412, x=353..366
x=364, y=1774..1784
x=467, y=871..881
x=508, y=1624..1631
x=412, y=1474..1484
x=504, y=8..18
x=366, y=397..412
y=1065, x=378..408
y=540, x=402..426
x=468, y=1239..1252
y=1269, x=444..448
y=903, x=428..439
x=378, y=1051..1065
x=407, y=849..859
x=425, y=348..362
x=408, y=1073..1086
y=1140, x=420..425
x=400, y=552..554
y=525, x=345..348
x=430, y=1552..1579
x=361, y=304..311
x=424, y=1329..1334
y=809, x=428..443
x=417, y=725..742
x=461, y=806..817
x=436, y=1299..1310
x=446, y=613..625
y=685, x=398..400
