x=331, y=565..585
x=334, y=1620..1622
x=207, y=1268..1271
x=321, y=1012..1021
y=1333, x=277..288
x=485, y=1395..1399
x=222, y=18..36
x=377, y=19..22
y=613, x=191..204
x=250, y=1215..1219
x=407, y=1736..1748
x=440, y=591..594
x=353, y=1093..1106
y=1437, x=342..346
y=992, x=422..424
x=346, y=212..215
y=1070, x=210..232
x=447, y=1588..1608
x=257, y=1387..1408
x=348, y=1538..1540
x=379, y=1720..1733
x=475, y=115..117
y=98, x=371..374
x=506, y=803..807
y=170, x=241..267
x=521, y=627..634
x=258, y=1714..1724
y=1557, x=329..331
x=391, y=982..993
x=197, y=1086..1096
x=422, y=879..884
x=397, y=104..110
x=288, y=1434..1445
y=901, x=220..242
x=304, y=1231..1242
x=284, y=1251..1264
x=388, y=1613..1618
y=184, x=453..457
x=454, y=1655..1673
x=492, y=477..483
y=617, x=357..373
x=216, y=1207..1225
y=844, x=408..427
x=256, y=237..244
x=231, y=859..866
x=378, y=766..773
x=298, y=1204..1210
x=340, y=989..1005
x=463, y=958..972
x=362, y=1576..1579
x=249, y=631..645
y=1578, x=436..443
y=77, x=373..377
y=729, x=207..232
x=481, y=606..619
x=352, y=1440..1464
y=1399, x=483..485
x=512, y=1813..1816
x=381, y=888..898
x=457, y=1409..1436
x=488, y=116..129
y=1623, x=209..231
y=553, x=323..333
y=646, x=432..446
y=81, x=500..503
y=359, x=333..343
x=385, y=487..490
x=374, y=830..839
y=859, x=396..401
x=421, y=1421..1434
y=708, x=219..223
x=461, y=1154..1173
x=330, y=39..60
x=279, y=1657..1660
x=475, y=694..696
y=640, x=462..482
y=859, x=412..415
y=511, x=424..447
x=218, y=1141..1158
x=470, y=587..598
y=1125, x=339..342
y=1444, x=196..199
y=521, x=512..528
x=226, y=265..291
x=314, y=506..523
x=383, y=283..310
x=408, y=381..401
y=154, x=371..375
x=389, y=95..118
x=347, y=1190..1194
y=1647, x=198..215
y=1275, x=199..215
x=478, y=1115..1118
x=268, y=209..224
